quota_index,project_id,total_correspondentes,expected_completes,country,1,16,17,19,2,25,27,profiler1010740,profiler1010744,profiler1010745,profiler1010852,profiler1011135,profiler186,profiler282,profiler702,profiler9
224,155809,115,181,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
225,155809,3,71,13,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,155809,5,69,13,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,155809,169,275,13,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,155809,9,65,13,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,155809,10,64,13,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,155848,0,300,13,18-24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
231,155848,0,300,13,18-24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
232,155848,0,150,13,25-34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
233,155848,0,150,13,25-34,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
234,155848,0,300,13,35-44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
235,155848,0,300,13,45-60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
236,155851,16,184,17,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,155851,4,196,17,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,155852,0,400,23,35-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,155852,0,400,23,60-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,155852,30,370,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,155852,64,336,23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
242,155852,94,170,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,155852,94,178,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,155852,94,170,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,155870,0,50,19,18-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,155870,0,50,19,26-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,155870,0,50,19,38-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,155870,0,50,19,50-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,155877,0,30,13,18-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,155877,0,30,13,25-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,155877,0,30,13,35-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,155877,0,30,13,45-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,155877,0,30,13,55-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,155877,8,67,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
255,155877,6,69,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
256,155877,1,5,13,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,155877,0,6,13,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,155877,0,6,13,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,155877,1,5,13,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,155877,0,6,13,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,155877,1,5,13,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,155877,0,6,13,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,155877,0,6,13,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,155877,0,6,13,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,155877,0,8,13,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,155877,0,8,13,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,155877,2,6,13,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,155877,0,8,13,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,155877,0,8,13,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,155877,0,8,13,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,155877,0,8,13,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,155877,0,8,13,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,155877,0,8,13,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,155877,1,7,13,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,155877,0,8,13,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,155877,1,7,13,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,155876,0,78,13,13-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
